,0
0,14.014000000000001
1,15.818999999999999
2,20.419999999999998
3,21.943
4,23.074
5,22.770999999999997
6,21.943
7,21.173000000000002
8,20.741999999999997
9,20.419999999999998
10,14.972999999999999
11,14.358
