,0
0,1.4341666666666664
1,1.325
2,1.2908333333333333
3,1.38
4,2.7450000000000006
5,3.960833333333333
6,5.1000000000000005
7,4.464166666666666
8,2.2866666666666666
9,1.735
10,1.955
11,1.7950000000000002
