Year,Month,Precipitation_past,Precipitation_pasttopast,Precipitation
2018,2,0,5.22,0
2018,3,2.12,7.33,0.05
2018,4,1.2,4.44,0.1
2018,5,20.86,7.59,1.07
2018,6,146.92,104.36,4.09
2018,7,161.22,267.6,5.17
2018,8,158.06,184,4.53
2018,9,205.18,171.28,1.98
2018,10,127.22,47.53,0.74
2018,11,1.73,2.15,0.44
2018,12,3,0.47,0.01
2019,1,0.09,0,0
2019,2,0,0,198.64
2019,3,0.05,2.12,23.66
2019,4,0.1,1.2,77.93
2019,5,1.07,20.86,4.41
2019,6,4.09,146.92,233.42
2019,7,5.17,161.22,137.09
2019,8,4.53,158.06,40.58
2019,9,1.98,205.18,197.04
2019,10,0.74,127.22,124.8
2019,11,0.44,1.73,17.29
2019,12,0.01,3,2.68
