Year,Month,maxws_past,maxws_pasttopast,MaxWindSpeed
2015,8,7.37,8.28,7.36
2015,9,6.37,5.72,4.88
2015,10,4.32,4.87,4.07
2015,11,4.62,4.76,5.26
2015,12,4.47,4.76,4.62
2016,1,4.68,5.52,4.31
2016,2,4.9,5.33,4.62
2016,3,5.07,5.07,4.75
2016,4,5.06,4.81,5.67
2016,5,6.2,5.87,6.94
2016,6,8.44,8.66,7.76
2016,7,9.56,10.18,8.58
2016,8,7.36,7.37,9.04
2016,9,4.88,6.37,6.39
2016,10,4.07,4.32,4.05
2016,11,5.26,4.62,4.3
2016,12,4.62,4.47,4.38
2017,1,4.31,4.68,4.31
2017,2,4.62,4.9,4.87
2017,3,4.75,5.07,4.72
2017,4,5.67,5.06,5.68
2017,5,6.94,6.2,6.48
2017,6,7.76,8.44,7.78
2017,7,8.58,9.56,10.36
2017,8,9.04,7.36,7.8
2017,9,6.39,4.88,4.55
2017,10,4.05,4.07,3.56
2017,11,4.3,5.26,4.24
2017,12,4.38,4.62,4.96
2018,1,4.31,4.31,3.93
2018,2,4.87,4.62,4.11
2018,3,4.72,4.75,4.21
2018,4,5.68,5.67,4.89
2018,5,6.48,6.94,6.16
2018,6,7.78,7.76,7.88
2018,7,10.36,8.58,10.57
2018,8,7.8,9.04,10.2
2018,9,4.55,6.39,5.46
2018,10,3.56,4.05,4.46
2018,11,4.24,4.3,4.48
2018,12,4.96,4.38,4.64
2019,1,3.93,4.31,4.31
2019,2,4.11,4.87,4.87
2019,3,4.21,4.72,4.72
2019,4,4.89,5.68,5.68
2019,5,6.16,6.48,6.48
2019,6,7.88,7.78,7.78
2019,7,10.57,10.36,10.36
2019,8,10.2,7.8,7.8
2019,9,5.46,4.55,4.55
2019,10,4.46,3.56,3.56
2019,11,4.48,4.24,4.24
2019,12,4.64,4.96,4.96
