State_Name,District_Name,Crop_Year,Season,Crop,Area,Rainfall,MaxTemp,Production,Productivity
Maharashtra,LATUR,2015,Kharif     ,Rice,3800,759.4,33.54,300,0.08
Maharashtra,NAGPUR,2015,Kharif     ,Rice,88700,867.7,34.29,107300,1.21
Maharashtra,NANDED,2015,Kharif     ,Rice,400,555,34.75,100,0.25
Maharashtra,NANDURBAR,2015,Kharif     ,Rice,18900,1344,33.65,17300,0.92
Maharashtra,NASHIK,2015,Kharif     ,Rice,69600,1144,33.46,101100,1.45
Maharashtra,OSMANABAD,2015,Kharif     ,Rice,6200,771,33.84,600,0.1
Maharashtra,PALGHAR,2015,Kharif     ,Rice,77100,965.7,31.2,177300,2.3
Maharashtra,PARBHANI,2015,Kharif     ,Rice,3100,897,34.3,1100,0.35
Maharashtra,PUNE,2015,Kharif     ,Rice,54600,1085,30.74,107300,1.97
Maharashtra,RAIGAD,2015,Kharif     ,Rice,112100,3793,31.02,328900,2.93
Maharashtra,RATNAGIRI,2015,Kharif     ,Rice,71000,921.5,32.04,174100,2.45
Maharashtra,SANGLI,2015,Kharif     ,Rice,22600,730.6,30.66,43400,1.92
Maharashtra,SATARA,2015,Kharif     ,Rice,52700,903,31.44,79700,1.51
Maharashtra,SINDHUDURG,2015,Kharif     ,Rice,64600,1180.8,32.4,190000,2.94
Maharashtra,SOLAPUR,2015,Kharif     ,Rice,200,611,32.9,0,0
Maharashtra,THANE,2015,Kharif     ,Rice,55000,921.5,31.78,124200,2.26
Maharashtra,WARDHA,2015,Kharif     ,Rice,210,1144,33.46,312,1.49
Maharashtra,WASHIM,2015,Kharif     ,Rice,19400,890.7,33.45,31700,1.63
Maharashtra,YAVATMAL,2015,Kharif     ,Rice,4800,722.3,34.12,4800,1
Maharashtra,AHMEDNAGAR,2016,Kharif     ,Rice,15000,591.13,33.45,26200,1.75
Maharashtra,AKOLA,2016,Kharif     ,Rice,600,447.4,33.26,400,0.67
Maharashtra,AMRAVATI,2016,Kharif     ,Rice,6900,808,33.62,4600,0.67
Maharashtra,AURANGABAD,2016,Kharif     ,Rice,6500,822,33.9,3100,0.48
Maharashtra,BEED,2016,Kharif     ,Rice,100,714,33.12,70,0.7
Maharashtra,BHANDARA,2016,Kharif     ,Rice,168400,1392.8,33.54,346800,2.06
Maharashtra,BHANDARA,2016,Summer     ,Rice,14000,1012.2,34.56,31600,2.26
Maharashtra,BULDHANA,2016,Kharif     ,Rice,100,845.2,34.28,100,1
Maharashtra,CHANDRAPUR,2016,Kharif     ,Rice,136400,1117,33.69,234000,1.72
Maharashtra,CHANDRAPUR,2016,Summer     ,Rice,6700,1117,33.69,11500,1.72
Maharashtra,DHULE,2016,Kharif     ,Rice,6400,1117,33.4,10500,1.64
Maharashtra,GADCHIROLI,2016,Kharif     ,Rice,148300,1391,34.15,274900,1.85
Maharashtra,GADCHIROLI,2016,Summer     ,Rice,5100,1394.4,33.56,10400,2.04
Maharashtra,GONDIA,2016,Kharif     ,Rice,173200,2010.8,34.07,423300,2.44
Maharashtra,GONDIA,2016,Summer     ,Rice,36100,1871.8,33.7,87000,2.41
Maharashtra,HINGOLI,2016,Kharif     ,Rice,1200,774.4,33.75,700,0.58
Maharashtra,JALGAON,2016,Kharif     ,Rice,600,583.9,33.91,100,0.17
Maharashtra,JALNA,2016,Kharif     ,Rice,3900,910,33.61,1400,0.36
Maharashtra,KOLHAPUR,2016,Kharif     ,Rice,113800,2275,29.46,396000,3.48
Maharashtra,KOLHAPUR,2016,Summer     ,Rice,400,1992.8,29.2,1800,4.5
Maharashtra,LATUR,2016,Kharif     ,Rice,3300,799,33.51,900,0.27
Maharashtra,NAGPUR,2016,Kharif     ,Rice,87600,997,34.65,170200,1.94
Maharashtra,NANDED,2016,Kharif     ,Rice,200,1107,33.98,100,0.5
Maharashtra,NANDURBAR,2016,Kharif     ,Rice,25300,890.7,33.78,29400,1.16
Maharashtra,NASHIK,2016,Kharif     ,Rice,71900,1306,32.78,145800,2.03
Maharashtra,OSMANABAD,2016,Kharif     ,Rice,6300,613.4,33.86,1200,0.19
Maharashtra,PALGHAR,2016,Kharif     ,Rice,76400,740.3,32.08,222700,2.91
Maharashtra,PARBHANI,2016,Kharif     ,Rice,20,898.7,33.31,4,0.2
Maharashtra,PUNE,2016,Kharif     ,Rice,53500,1085,30.74,115400,2.16
Maharashtra,RAIGAD,2016,Kharif     ,Rice,109400,3071.3,31.87,297200,2.72
Maharashtra,RATNAGIRI,2016,Kharif     ,Rice,75300,1180.8,31.5,236300,3.14
Maharashtra,SANGLI,2016,Kharif     ,Rice,16800,730.6,31.8,42900,2.55
Maharashtra,SATARA,2016,Kharif     ,Rice,47000,1642,30.89,82100,1.75
Maharashtra,SINDHUDURG,2016,Kharif     ,Rice,62500,3121.1,32.74,205700,3.29
Maharashtra,SOLAPUR,2016,Kharif     ,Rice,200,614.3,32.55,43,0.22
Maharashtra,THANE,2016,Kharif     ,Rice,55000,2192.9,31.55,149600,2.72
Maharashtra,WARDHA,2016,Kharif     ,Rice,20400,890.7,33.78,21900,1.07
Maharashtra,WASHIM,2016,Kharif     ,Rice,19500,725.4,33.85,28400,1.46
Maharashtra,YAVATMAL,2016,Kharif     ,Rice,3700,854.6,34.08,2400,0.65
Maharashtra,AHMEDNAGAR,2017,Kharif     ,Rice,5900,372.8,31.96,7200,1.22
Maharashtra,AKOLA,2017,Kharif     ,Rice,500,440.2,33.3,300,0.6
Maharashtra,AMRAVATI,2017,Kharif     ,Rice,600,708.4,33.96,200,0.33
Maharashtra,AURANGABAD,2017,Kharif     ,Rice,500,862.8,33.94,400,0.8
Maharashtra,BEED,2017,Kharif     ,Rice,500,862.8,33.94,400,0.8
Maharashtra,BHANDARA,2017,Kharif     ,Rice,177200,1392.8,33.54,360500,2.03
Maharashtra,BULDHANA,2017,Kharif     ,Rice,100,928.7,34.12,40,0.4
Maharashtra,CHANDRAPUR,2017,Kharif     ,Rice,136300,1117,33.69,188700,1.38
Maharashtra,DHULE,2017,Kharif     ,Rice,138300,1051.8,34.33,154100,1.11
Maharashtra,GADCHIROLI,2017,Kharif     ,Rice,106000,2213.2,29.51,289100,2.73
Maharashtra,GONDIA,2017,Kharif     ,Rice,178200,1370.7,33.61,306000,1.72
Maharashtra,HINGOLI,2017,Kharif     ,Rice,600,433.2,33.9,400,0.67
Maharashtra,JALGAON,2017,Kharif     ,Rice,700,721.9,33.54,300,0.43
Maharashtra,JALNA,2017,Kharif     ,Rice,3200,910,33.97,1300,0.41
Maharashtra,KOLHAPUR,2017,Kharif     ,Rice,104300,1992.8,29.2,278900,2.67
Maharashtra,LATUR,2017,Kharif     ,Rice,20700,621.2,33.87,9200,0.44
Maharashtra,NAGPUR,2017,Kharif     ,Rice,496,997,33.89,754,1.52
Maharashtra,NANDED,2017,Kharif     ,Rice,23300,931.3,34.21,13400,0.58
Maharashtra,NANDURBAR,2017,Kharif     ,Rice,19700,1144,34.12,30900,1.57
Maharashtra,NASHIK,2017,Kharif     ,Rice,50800,1058,32.1,70200,1.38
Maharashtra,OSMANABAD,2017,Kharif     ,Rice,17500,705,34.2,6700,0.38
Maharashtra,PALGHAR,2017,Kharif     ,Rice,8300,701.6,32.4,17600,2.12
Maharashtra,PARBHANI,2017,Kharif     ,Rice,22900,991.1,34.03,10300,0.45
Maharashtra,PUNE,2017,Kharif     ,Rice,82100,1085,30.74,153200,1.87
Maharashtra,RAIGAD,2017,Kharif     ,Rice,123800,3278.9,31.08,335900,2.71
Maharashtra,RATNAGIRI,2017,Kharif     ,Rice,77300,918.1,31.59,202700,2.62
Maharashtra,SANGLI,2017,Kharif     ,Rice,187,665,29.6,436,2.33
Maharashtra,SATARA,2017,Kharif     ,Rice,49700,912.5,31.22,109300,2.2
Maharashtra,SINDHUDURG,2017,Kharif     ,Rice,749,921.5,32.16,2051,2.74
Maharashtra,SOLAPUR,2017,Kharif     ,Rice,700,646.5,31.9,200,0.29
Maharashtra,THANE,2017,Kharif     ,Rice,137500,842.9,31.08,337200,2.45
Maharashtra,WARDHA,2017,Kharif     ,Rice,18700,890.7,34.3,12900,0.69
Maharashtra,WASHIM,2017,Kharif     ,Rice,22500,1344,33.65,20300,0.9
Maharashtra,YAVATMAL,2017,Kharif     ,Rice,3300,990.8,33.76,2000,0.61
Maharashtra,AHMEDNAGAR,2018,Kharif     ,Rice,5600,776.4,32.6,7400,1.32
Maharashtra,AKOLA,2018,Kharif     ,Rice,600,715.4,32.55,200,0.33
Maharashtra,AMRAVATI,2018,Kharif     ,Rice,800,708.4,33.12,300,0.38
Maharashtra,AURANGABAD,2018,Kharif     ,Rice,200,922.1,33.15,100,0.5
Maharashtra,BEED,2018,Kharif     ,Rice,200,922.1,33.15,100,0.5
Maharashtra,BHANDARA,2018,Kharif     ,Rice,188600,1012.2,34.56,305400,1.62
Maharashtra,BULDHANA,2018,Kharif     ,Rice,1100,1418.7,33.12,700,0.64
Maharashtra,CHANDRAPUR,2018,Kharif     ,Rice,2900,1117,33.69,5000,1.72
Maharashtra,DHULE,2018,Kharif     ,Rice,4800,1051.8,34.33,7100,1.48
Maharashtra,GADCHIROLI,2018,Kharif     ,Rice,300,2213.2,29.51,700,2.33
