Year,Month,SH_past,SH_pasttopast
2020,1,0.005901,0.006711
2020,2,0.005095,0.00591
2020,3,0.00638,0.006907
2020,4,0.007138,0.008104
2020,5,0.011883,0.011703
2020,6,0.01656,0.016853
2020,7,0.01661,0.016475
2020,8,0.016198,0.016013
2020,9,0.017074,0.01508
2020,10,0.015034,0.012049
2020,11,0.01098,0.00947
2020,12,0.009119,0.007077
