Year,Month,maxtemp_past,maxtemp_pasttopast,MaxTemperature
2017,7,29.03,31.99,30.27
2017,8,29.4,31.92,30.14
2017,9,28.72,31.77,30.2
2017,10,29.61,32.32,29.7
2017,11,29.8,32.05,28.97
2017,12,30.27,32.38,28.42
2018,1,30.7,31.47,29.82
2018,2,34.78,35.18,33.2
2018,3,37.22,37.66,36.84
2018,4,40.48,40.7,39.81
2018,5,39.79,39.83,39.48
2018,6,32.45,32.61,31.45
2018,7,30.27,29.03,29.46
2018,8,30.14,29.4,29.42
2018,9,30.2,28.72,31.32
2018,10,29.7,29.61,33.12
2018,11,28.97,29.8,32.22
2018,12,28.42,30.27,30.31
2019,1,29.82,30.7,30.7
2019,2,33.2,34.78,34.78
2019,3,36.84,37.22,37.22
2019,4,39.81,40.48,40.48
2019,5,39.48,39.79,39.79
2019,6,31.45,32.45,32.45
2019,7,29.46,30.27,30.27
2019,8,29.42,30.14,30.14
2019,9,31.32,30.2,30.2
2019,10,33.12,29.7,29.7
2019,11,32.22,28.97,28.97
2019,12,30.31,28.42,28.42
