Year,Month,cc_past,cc_pasttopast,Cloud Coverage
2017,7,0.27,0.37,0.33
2017,8,0.35,0.4,0.38
2017,9,0.39,0.5,0.44
2017,10,0.54,0.55,0.53
2017,11,0.66,0.58,0.63
2017,12,0.63,0.64,0.59
2018,1,0.66,0.63,0.66
2018,2,0.69,0.63,0.69
2018,3,0.68,0.66,0.68
2018,4,0.66,0.63,0.66
2018,5,0.62,0.62,0.62
2018,6,0.44,0.4,0.44
2018,7,0.33,0.27,0.33
2018,8,0.38,0.35,0.38
2018,9,0.44,0.39,0.44
2018,10,0.53,0.54,0.53
2018,11,0.63,0.66,0.63
2018,12,0.59,0.63,0.59
2019,1,0.66,0.66,0.66
2019,2,0.69,0.69,0.69
2019,3,0.68,0.68,0.68
2019,4,0.66,0.66,0.66
2019,5,0.62,0.62,0.62
2019,6,0.44,0.44,0.44
2019,7,0.33,0.33,0.33
2019,8,0.38,0.38,0.38
2019,9,0.44,0.44,0.44
2019,10,0.53,0.53,0.53
2019,11,0.63,0.63,0.63
2019,12,0.59,0.59,0.59
