Year,Month,avgtemp_past,avgtemp_pasttopast,avgtemp
2017,7,7.03,9.7,8.1
2017,8,8.16,9.89,8.78
2017,9,8.09,10.41,8.6
2017,10,12.01,11.59,10.03
2017,11,16.82,13.91,14.19
2017,12,17.45,16.3,14.96
2018,1,17.27,17.21,16.97
2018,2,18.52,17.38,16.52
2018,3,18.47,16.39,16.26
2018,4,19.05,17.14,16.79
2018,5,15.4,15.36,15.34
2018,6,9.39,9.48,8.35
2018,7,8.1,7.03,7.48
2018,8,8.78,8.16,8.12
2018,9,8.6,8.09,10.91
2018,10,10.03,12.01,13.51
2018,11,14.19,16.82,14.7
2018,12,14.96,17.45,16.18
2019,1,16.97,17.27,17.27
2019,2,16.52,18.52,18.52
2019,3,16.26,18.47,18.47
2019,4,16.79,19.05,19.05
2019,5,15.34,15.4,15.4
2019,6,8.35,9.39,9.39
2019,7,7.48,8.1,8.1
2019,8,8.12,8.78,8.78
2019,9,10.91,8.6,8.6
2019,10,13.51,10.03,10.03
2019,11,14.7,14.19,14.19
2019,12,16.18,14.96,14.96
